WKT,Name,Latitude,Longitude
"POINT (106.7861404419 10.8985481262)",Point 480,10.8985481262,106.7861404419
"POINT (106.7864 10.86763)",Point 481,10.86763,106.7864
"POINT (106.77885 10.889608)",Point 482,10.889608,106.77885
"POINT (106.7859 10.886901)",Point 483,10.886901,106.7859
"POINT (106.7990264893 10.87504673)",Point 484,10.87504673,106.7990264893
"POINT (106.79864 10.872963)",Point 485,10.872963,106.79864
"POINT (106.7706375122 10.8993244171)",Point 486,10.8993244171,106.7706375122
"POINT (106.7773 10.88754)",Point 487,10.88754,106.7773
"POINT (106.7854919434 10.8943901062)",Point 488,10.8943901062,106.7854919434
"POINT (106.802947998 10.8757505417)",Point 489,10.8757505417,106.802947998
"POINT (106.78483 10.884971)",Point 490,10.884971,106.78483
"POINT (106.7980041504 10.8728609085)",Point 491,10.8728609085,106.7980041504
"POINT (106.77169 10.892292)",Point 492,10.892292,106.77169
"POINT (106.790473938 10.8919258118)",Point 493,10.8919258118,106.790473938
"POINT (106.78488 10.891074)",Point 494,10.891074,106.78488
"POINT (106.78619 10.901367)",Point 495,10.901367,106.78619
"POINT (106.7816162109 10.8896827698)",Point 496,10.8896827698,106.7816162109
"POINT (106.774086 10.899981)",Point 497,10.899981,106.774086
"POINT (106.7754 10.899503)",Point 498,10.899503,106.7754
"POINT (106.77628 10.901399)",Point 499,10.901399,106.77628
"POINT (106.77893 10.889517)",Point 500,10.889517,106.77893
"POINT (106.7819137573 10.8896160126)",Point 501,10.8896160126,106.7819137573
"POINT (106.7929534912 10.8910512924)",Point 502,10.8910512924,106.7929534912
"POINT (106.7809066772 10.8911714554)",Point 503,10.8911714554,106.7809066772
"POINT (106.78465 10.88662)",Point 504,10.88662,106.78465
"POINT (106.7810668945 10.8912096024)",Point 505,10.8912096024,106.7810668945
"POINT (106.77334 10.897989)",Point 506,10.897989,106.77334
"POINT (106.78506 10.899488)",Point 507,10.899488,106.78506
"POINT (106.7778091431 10.9044446945)",Point 508,10.9044446945,106.7778091431
"POINT (106.78178 10.891428)",Point 509,10.891428,106.78178
"POINT (106.781525 10.891035)",Point 510,10.891035,106.781525
"POINT (106.7771 10.8886)",Point 511,10.8886,106.7771
"POINT (106.78779 10.891457)",Point 512,10.891457,106.78779
"POINT (106.7869 10.886985)",Point 513,10.886985,106.7869
"POINT (106.79775 10.87283)",Point 514,10.87283,106.79775
"POINT (106.77256 10.895796)",Point 515,10.895796,106.77256
"POINT (106.7833633423 10.9005832672)",Point 516,10.9005832672,106.7833633423
"POINT (106.8098526001 10.8792295456)",Point 517,10.8792295456,106.8098526001
"POINT (106.78216 10.8940325)",Point 518,10.8940325,106.78216
"POINT (106.7823944092 10.9016981125)",Point 519,10.9016981125,106.7823944092
"POINT (106.77832 10.886734)",Point 520,10.886734,106.77832
"POINT (106.78228 10.888619)",Point 521,10.888619,106.78228
"POINT (106.7848968506 10.8909702301)",Point 522,10.8909702301,106.7848968506
"POINT (106.7774047852 10.9026060104)",Point 523,10.9026060104,106.7774047852
"POINT (106.7876358032 10.8847341537)",Point 524,10.8847341537,106.7876358032
"POINT (106.77456 10.903635)",Point 525,10.903635,106.77456
"POINT (106.7997055054 10.8725948334)",Point 526,10.8725948334,106.7997055054
"POINT (106.7924499512 10.8908596039)",Point 527,10.8908596039,106.7924499512
"POINT (106.77807 10.888996)",Point 528,10.888996,106.77807
"POINT (106.7878265381 10.8883457184)",Point 529,10.8883457184,106.7878265381
"POINT (106.78167 10.889626)",Point 530,10.889626,106.78167
"POINT (106.78466 10.885102)",Point 531,10.885102,106.78466
"POINT (106.77665 10.898394)",Point 532,10.898394,106.77665
"POINT (106.77884 10.889614)",Point 533,10.889614,106.77884
"POINT (106.7786 10.888557)",Point 534,10.888557,106.7786
"POINT (106.810234 10.877295)",Point 535,10.877295,106.810234
"POINT (106.7999725342 10.8734779358)",Point 536,10.8734779358,106.7999725342
"POINT (106.78387 10.895829)",Point 537,10.895829,106.78387
"POINT (106.7869796753 10.8841905594)",Point 538,10.8841905594,106.7869796753
"POINT (106.77674 10.897471)",Point 539,10.897471,106.77674
"POINT (106.78108 10.889499)",Point 540,10.889499,106.78108
"POINT (106.77968 10.892195)",Point 541,10.892195,106.77968
"POINT (106.77348 10.898736)",Point 542,10.898736,106.77348
"POINT (106.7810745239 10.8911485672)",Point 543,10.8911485672,106.7810745239
"POINT (106.78024 10.890502)",Point 544,10.890502,106.78024
"POINT (106.77214 10.902962)",Point 545,10.902962,106.77214
"POINT (106.77673 10.897464)",Point 546,10.897464,106.77673
"POINT (106.78835 10.887889)",Point 547,10.887889,106.78835
"POINT (106.78196 10.891314)",Point 548,10.891314,106.78196
"POINT (106.7743911743 10.9027309418)",Point 549,10.9027309418,106.7743911743
"POINT (106.781075 10.868348)",Point 550,10.868348,106.781075
"POINT (106.7907867432 10.876871109)",Point 551,10.876871109,106.7907867432
"POINT (106.78351 10.894534)",Point 552,10.894534,106.78351
"POINT (106.786835 10.890907)",Point 553,10.890907,106.786835
"POINT (106.77202 10.901485)",Point 554,10.901485,106.77202
"POINT (106.7839736938 10.8851146698)",Point 555,10.8851146698,106.7839736938
"POINT (106.7803115845 10.902888298)",Point 556,10.902888298,106.7803115845
"POINT (106.79221 10.900996)",Point 557,10.900996,106.79221
"POINT (106.78548 10.8841715)",Point 558,10.8841715,106.78548
"POINT (106.78329 10.903352)",Point 559,10.903352,106.78329
"POINT (106.7872390747 10.8905086517)",Point 560,10.8905086517,106.7872390747
"POINT (106.786125 10.895875)",Point 561,10.895875,106.786125
"POINT (106.7910308838 10.8766078949)",Point 562,10.8766078949,106.7910308838
"POINT (106.7846908569 10.8976516724)",Point 563,10.8976516724,106.7846908569
"POINT (106.78198 10.891296)",Point 564,10.891296,106.78198
"POINT (106.77891 10.889458)",Point 565,10.889458,106.77891
"POINT (106.77435 10.892848)",Point 566,10.892848,106.77435
"POINT (106.7900238037 10.892786026)",Point 567,10.892786026,106.7900238037
"POINT (106.79737 10.89151)",Point 568,10.89151,106.79737
"POINT (106.78768 10.891985)",Point 569,10.891985,106.78768
"POINT (106.777756 10.891205)",Point 570,10.891205,106.777756
"POINT (106.7695388794 10.8990802765)",Point 571,10.8990802765,106.7695388794
"POINT (106.77885 10.889584)",Point 572,10.889584,106.77885
"POINT (106.81075 10.876893)",Point 573,10.876893,106.81075
"POINT (106.77915 10.887738)",Point 574,10.887738,106.77915
"POINT (106.782555 10.892669)",Point 575,10.892669,106.782555
"POINT (106.77214 10.901149)",Point 576,10.901149,106.77214
"POINT (106.78403 10.884636)",Point 577,10.884636,106.78403
"POINT (106.7771 10.88868)",Point 578,10.88868,106.7771
"POINT (106.7986679077 10.8739528656)",Point 579,10.8739528656,106.7986679077
"POINT (106.775536 10.896999)",Point 580,10.896999,106.775536
"POINT (106.78175 10.885585)",Point 581,10.885585,106.78175
"POINT (106.78835 10.887887)",Point 582,10.887887,106.78835
"POINT (106.78737 10.888322)",Point 583,10.888322,106.78737
"POINT (106.78347 10.886293)",Point 584,10.886293,106.78347
"POINT (106.7865 10.86801)",Point 585,10.86801,106.7865
"POINT (106.78078 10.896493)",Point 586,10.896493,106.78078
"POINT (106.785126 10.899071)",Point 587,10.899071,106.785126
"POINT (106.7892379761 10.8933372498)",Point 588,10.8933372498,106.7892379761
"POINT (106.7842788696 10.8918972015)",Point 589,10.8918972015,106.7842788696
"POINT (106.77474 10.898865)",Point 590,10.898865,106.77474
"POINT (106.785225 10.888892)",Point 591,10.888892,106.785225
"POINT (106.7988815308 10.8744106293)",Point 592,10.8744106293,106.7988815308
"POINT (106.7850570679 10.9018354416)",Point 593,10.9018354416,106.7850570679
"POINT (106.7850341797 10.8907594681)",Point 594,10.8907594681,106.7850341797
"POINT (106.776344 10.898363)",Point 595,10.898363,106.776344
"POINT (106.785194 10.901129)",Point 596,10.901129,106.785194
"POINT (106.77692 10.898534)",Point 597,10.898534,106.77692
"POINT (106.7843 10.89246)",Point 598,10.89246,106.7843
"POINT (106.783875 10.886506)",Point 599,10.886506,106.783875
"POINT (106.78127 10.905671)",Point 600,10.905671,106.78127
"POINT (106.7786 10.888793)",Point 601,10.888793,106.7786
"POINT (106.78147 10.898611)",Point 602,10.898611,106.78147
"POINT (106.7909240723 10.8768625259)",Point 603,10.8768625259,106.7909240723
"POINT (106.7988815308 10.8738641739)",Point 604,10.8738641739,106.7988815308
"POINT (106.780365 10.898383)",Point 605,10.898383,106.780365
"POINT (106.77673 10.897463)",Point 606,10.897463,106.77673
"POINT (106.78979 10.901755)",Point 607,10.901755,106.78979
"POINT (106.78793 10.885881)",Point 608,10.885881,106.78793
"POINT (106.76596 10.856379)",Point 609,10.856379,106.76596
"POINT (106.7821731567 10.8897066116)",Point 610,10.8897066116,106.7821731567
"POINT (106.7990722656 10.8726482391)",Point 611,10.8726482391,106.7990722656
"POINT (106.7869186401 10.882976532)",Point 612,10.882976532,106.7869186401
"POINT (106.772766 10.897049)",Point 613,10.897049,106.772766
"POINT (106.78744 10.894871)",Point 614,10.894871,106.78744
"POINT (106.78671 10.88811)",Point 615,10.88811,106.78671
"POINT (106.77943 10.899956)",Point 616,10.899956,106.77943
"POINT (106.77674 10.897474)",Point 617,10.897474,106.77674
"POINT (106.77451 10.897218)",Point 618,10.897218,106.77451
"POINT (106.7803955078 10.9025449753)",Point 619,10.9025449753,106.7803955078
"POINT (106.78705 10.8870945)",Point 620,10.8870945,106.78705
"POINT (106.7769 10.902003)",Point 621,10.902003,106.7769
"POINT (106.77884 10.889611)",Point 622,10.889611,106.77884
"POINT (106.7883911133 10.8892297745)",Point 623,10.8892297745,106.7883911133
"POINT (106.785576 10.887402)",Point 624,10.887402,106.785576
"POINT (106.77785 10.894591)",Point 625,10.894591,106.77785
"POINT (106.78391 10.88654)",Point 626,10.88654,106.78391
"POINT (106.78513 10.891139)",Point 627,10.891139,106.78513
"POINT (106.77696 10.898022)",Point 628,10.898022,106.77696
"POINT (106.8077 10.875897)",Point 629,10.875897,106.8077
"POINT (106.79697 10.882012)",Point 630,10.882012,106.79697
"POINT (106.78745 10.887629)",Point 631,10.887629,106.78745
"POINT (106.77643 10.8977165)",Point 632,10.8977165,106.77643
"POINT (106.7856140137 10.8950195313)",Point 633,10.8950195313,106.7856140137
"POINT (106.77451 10.897218)",Point 634,10.897218,106.77451
"POINT (106.783455 10.88695)",Point 635,10.88695,106.783455
"POINT (106.788445 10.8868065)",Point 636,10.8868065,106.788445
"POINT (106.7916 10.897372)",Point 637,10.897372,106.7916
"POINT (106.77912 10.887679)",Point 638,10.887679,106.77912
"POINT (106.780785 10.891076)",Point 639,10.891076,106.780785
"POINT (106.7872924805 10.8989419937)",Point 640,10.8989419937,106.7872924805
"POINT (106.7850341797 10.8912343979)",Point 641,10.8912343979,106.7850341797
"POINT (106.7815322876 10.8914880753)",Point 642,10.8914880753,106.7815322876
"POINT (106.7818908691 10.8895740509)",Point 643,10.8895740509,106.7818908691
"POINT (106.77884 10.889611)",Point 644,10.889611,106.77884
"POINT (106.8000106812 10.8734731674)",Point 645,10.8734731674,106.8000106812
"POINT (106.779144 10.887723)",Point 646,10.887723,106.779144
"POINT (106.77705 10.894552)",Point 647,10.894552,106.77705
"POINT (106.78506 10.899051)",Point 648,10.899051,106.78506
"POINT (106.8097915649 10.8778762817)",Point 649,10.8778762817,106.8097915649
"POINT (106.78005 10.898676)",Point 650,10.898676,106.78005
"POINT (106.791595 10.897371)",Point 651,10.897371,106.791595
"POINT (106.784966 10.886333)",Point 652,10.886333,106.784966
"POINT (106.7878112793 10.8884754181)",Point 653,10.8884754181,106.7878112793
"POINT (106.8101959229 10.879029274)",Point 654,10.879029274,106.8101959229
"POINT (106.7854 10.885761)",Point 655,10.885761,106.7854
"POINT (106.7891921997 10.8920116425)",Point 656,10.8920116425,106.7891921997
"POINT (106.80102 10.8736105)",Point 657,10.8736105,106.80102
"POINT (106.76807 10.900754)",Point 658,10.900754,106.76807
"POINT (106.77713 10.893347)",Point 659,10.893347,106.77713
"POINT (106.78493 10.891052)",Point 660,10.891052,106.78493
"POINT (106.78262 10.897104)",Point 661,10.897104,106.78262
"POINT (106.78814 10.895576)",Point 662,10.895576,106.78814
"POINT (106.77884 10.889616)",Point 663,10.889616,106.77884
