WKT,Name,Latitude,Longitude
"POINT (106.79103 10.8640175)",Point 101,10.8640175,106.79103
"POINT (106.77933 10.859376)",Point 102,10.859376,106.77933
"POINT (106.78185 10.867065)",Point 103,10.867065,106.78185
"POINT (106.78878 10.867622)",Point 104,10.867622,106.78878
"POINT (106.76438 10.868914)",Point 105,10.868914,106.76438
"POINT (106.79857 10.870775)",Point 106,10.870775,106.79857
"POINT (106.78007 10.859729)",Point 107,10.859729,106.78007
"POINT (106.76398 10.871539)",Point 108,10.871539,106.76398
"POINT (106.78003 10.864604)",Point 109,10.864604,106.78003
"POINT (106.77212 10.854484)",Point 110,10.854484,106.77212
"POINT (106.78145 10.867139)",Point 111,10.867139,106.78145
"POINT (106.76803 10.858047)",Point 112,10.858047,106.76803
"POINT (106.76586 10.863076)",Point 113,10.863076,106.76586
"POINT (106.7830200195 10.8597755432)",Point 114,10.8597755432,106.7830200195
"POINT (106.7631 10.865186)",Point 115,10.865186,106.7631
"POINT (106.772224 10.855814)",Point 116,10.855814,106.772224
"POINT (106.768616 10.857017)",Point 117,10.857017,106.768616
"POINT (106.7903 10.864971)",Point 118,10.864971,106.7903
"POINT (106.78855 10.862147)",Point 119,10.862147,106.78855
"POINT (106.78735 10.859426)",Point 120,10.859426,106.78735
"POINT (106.768684 10.855392)",Point 121,10.855392,106.768684
,Point 122,,
"POINT (106.765854 10.858626)",Point 123,10.858626,106.765854
"POINT (106.76808 10.858094)",Point 124,10.858094,106.76808
"POINT (106.77157 10.856511)",Point 125,10.856511,106.77157
"POINT (106.79074 10.861231)",Point 126,10.861231,106.79074
"POINT (106.76672 10.86139)",Point 127,10.86139,106.76672
"POINT (106.793144 10.863818)",Point 128,10.863818,106.793144
"POINT (106.789986 10.860504)",Point 129,10.860504,106.789986
"POINT (106.76718 10.85918)",Point 130,10.85918,106.76718
"POINT (106.787544 10.86081)",Point 131,10.86081,106.787544
"POINT (106.7635 10.87174)",Point 132,10.87174,106.7635
"POINT (106.78187 10.865387)",Point 133,10.865387,106.78187
"POINT (106.76985 10.854726)",Point 134,10.854726,106.76985
"POINT (106.79197 10.863561)",Point 135,10.863561,106.79197
"POINT (106.764984 10.862065)",Point 136,10.862065,106.764984
"POINT (106.766884 10.85684)",Point 137,10.85684,106.766884
"POINT (106.77998 10.864673)",Point 138,10.864673,106.77998
"POINT (106.768951416 10.8586606979)",Point 139,10.8586606979,106.768951416
"POINT (106.7627868652 10.8659820557)",Point 140,10.8659820557,106.7627868652
"POINT (106.780334 10.864461)",Point 141,10.864461,106.780334
"POINT (106.78735 10.859426)",Point 142,10.859426,106.78735
"POINT (106.79736 10.869911)",Point 143,10.869911,106.79736
"POINT (106.77236 10.857063)",Point 144,10.857063,106.77236
"POINT (106.77517 10.856809)",Point 145,10.856809,106.77517
"POINT (106.76188 10.864256)",Point 146,10.864256,106.76188
"POINT (106.78191 10.882753)",Point 147,10.882753,106.78191
"POINT (106.78721 10.861068)",Point 148,10.861068,106.78721
"POINT (106.78212 10.861002)",Point 149,10.861002,106.78212
"POINT (106.764565 10.857243)",Point 150,10.857243,106.764565
"POINT (106.7718 10.860617)",Point 151,10.860617,106.7718
"POINT (106.78945 10.864165)",Point 152,10.864165,106.78945
"POINT (106.78155 10.860757)",Point 153,10.860757,106.78155
"POINT (106.79874 10.867223)",Point 154,10.867223,106.79874
"POINT (106.76753 10.857166)",Point 155,10.857166,106.76753
"POINT (106.76703 10.8581705)",Point 156,10.8581705,106.76703
"POINT (106.77998 10.864517)",Point 157,10.864517,106.77998
"POINT (106.78888 10.865954)",Point 158,10.865954,106.78888
"POINT (106.7808074951 10.8567638397)",Point 159,10.8567638397,106.7808074951
"POINT (106.7713 10.854569)",Point 160,10.854569,106.7713
"POINT (106.7887039185 10.8612575531)",Point 161,10.8612575531,106.7887039185
"POINT (106.79178 10.867443)",Point 162,10.867443,106.79178
"POINT (106.77315 10.857892)",Point 163,10.857892,106.77315
"POINT (106.7792 10.858753)",Point 164,10.858753,106.7792
"POINT (106.76256 10.859853)",Point 165,10.859853,106.76256
"POINT (106.7984085083 10.8650970459)",Point 166,10.8650970459,106.7984085083
"POINT (106.76449 10.868899)",Point 167,10.868899,106.76449
"POINT (106.77231 10.857832)",Point 168,10.857832,106.77231
"POINT (106.77985 10.860239)",Point 169,10.860239,106.77985
"POINT (106.76569 10.8701935)",Point 170,10.8701935,106.76569
"POINT (106.78207 10.865475)",Point 171,10.865475,106.78207
"POINT (106.790596 10.860334)",Point 172,10.860334,106.790596
"POINT (106.7843 10.860441)",Point 173,10.860441,106.7843
"POINT (106.79175 10.870938)",Point 174,10.870938,106.79175
"POINT (106.769806 10.85837)",Point 175,10.85837,106.769806
"POINT (106.77125 10.859141)",Point 176,10.859141,106.77125
"POINT (106.78395 10.860845)",Point 177,10.860845,106.78395
"POINT (106.76144 10.8633585)",Point 178,10.8633585,106.76144
"POINT (106.762024 10.864247)",Point 179,10.864247,106.762024
"POINT (106.7880554199 10.86120224)",Point 180,10.86120224,106.7880554199
"POINT (106.7737808228 10.8552799225)",Point 181,10.8552799225,106.7737808228
"POINT (106.81104 10.878361)",Point 182,10.878361,106.81104
"POINT (106.7725601196 10.8552818298)",Point 183,10.8552818298,106.7725601196
"POINT (106.80118 10.866917)",Point 184,10.866917,106.80118
"POINT (106.76604 10.85692)",Point 185,10.85692,106.76604
"POINT (106.768005 10.8558)",Point 186,10.8558,106.768005
"POINT (106.767494 10.860362)",Point 187,10.860362,106.767494
"POINT (106.79153 10.862785)",Point 188,10.862785,106.79153
"POINT (106.7831 10.86641)",Point 189,10.86641,106.7831
"POINT (106.76675 10.858257)",Point 190,10.858257,106.76675
"POINT (106.78183 10.864645)",Point 191,10.864645,106.78183
"POINT (106.7691116333 10.8582010269)",Point 192,10.8582010269,106.7691116333
"POINT (106.766975 10.861918)",Point 193,10.861918,106.766975
"POINT (106.775314 10.856178)",Point 194,10.856178,106.775314
"POINT (106.79205 10.871257)",Point 195,10.871257,106.79205
"POINT (106.77228 10.85826)",Point 196,10.85826,106.77228
"POINT (106.78861 10.864805)",Point 197,10.864805,106.78861
"POINT (106.78033 10.860824)",Point 198,10.860824,106.78033
"POINT (106.78072 10.858682)",Point 199,10.858682,106.78072
"POINT (106.76887 10.855148)",Point 200,10.855148,106.76887
"POINT (106.7634811401 10.8600196838)",Point 201,10.8600196838,106.7634811401
"POINT (106.77325 10.857367)",Point 202,10.857367,106.77325
"POINT (106.77266 10.856186)",Point 203,10.856186,106.77266
"POINT (106.77189 10.858905)",Point 204,10.858905,106.77189
"POINT (106.79185 10.865596)",Point 205,10.865596,106.79185
"POINT (106.790565 10.862622)",Point 206,10.862622,106.790565
"POINT (106.78853 10.868126)",Point 207,10.868126,106.78853
"POINT (106.78056 10.858944)",Point 208,10.858944,106.78056
"POINT (106.8000640869 10.8665914536)",Point 209,10.8665914536,106.8000640869
"POINT (106.76487 10.8690405)",Point 210,10.8690405,106.76487
"POINT (106.76575 10.870748)",Point 211,10.870748,106.76575
"POINT (106.77239 10.85718)",Point 212,10.85718,106.77239
"POINT (106.77415 10.856027)",Point 213,10.856027,106.77415
"POINT (106.7827 10.863948)",Point 214,10.863948,106.7827
"POINT (106.77547 10.856661)",Point 215,10.856661,106.77547
"POINT (106.76563 10.857983)",Point 216,10.857983,106.76563
"POINT (106.78737 10.859684)",Point 217,10.859684,106.78737
"POINT (106.7666 10.861144)",Point 218,10.861144,106.7666
"POINT (106.79185 10.86185)",Point 219,10.86185,106.79185
"POINT (106.788925 10.867866)",Point 220,10.867866,106.788925
"POINT (106.800644 10.867487)",Point 221,10.867487,106.800644
"POINT (106.78977 10.861947)",Point 222,10.861947,106.78977
"POINT (106.78655 10.867474)",Point 223,10.867474,106.78655
"POINT (106.78268 10.863285)",Point 224,10.863285,106.78268
"POINT (106.7882614136 10.8610095978)",Point 225,10.8610095978,106.7882614136
"POINT (106.767654 10.864129)",Point 226,10.864129,106.767654
"POINT (106.7744 10.859634)",Point 227,10.859634,106.7744
"POINT (106.78821 10.861134)",Point 228,10.861134,106.78821
"POINT (106.78391 10.859575)",Point 229,10.859575,106.78391
"POINT (106.77984 10.860433)",Point 230,10.860433,106.77984
"POINT (106.7688751221 10.858631134)",Point 231,10.858631134,106.7688751221
"POINT (106.76477 10.862092)",Point 232,10.862092,106.76477
"POINT (106.7635 10.87082)",Point 233,10.87082,106.7635
"POINT (106.779205 10.859104)",Point 234,10.859104,106.779205
"POINT (106.76238 10.86502)",Point 235,10.86502,106.76238
"POINT (106.78736 10.858933)",Point 236,10.858933,106.78736
"POINT (106.79295 10.864853)",Point 237,10.864853,106.79295
"POINT (106.780334 10.864517)",Point 238,10.864517,106.780334
"POINT (106.78975 10.861137)",Point 239,10.861137,106.78975
"POINT (106.7839 10.860694)",Point 240,10.860694,106.7839
"POINT (106.79185 10.865596)",Point 241,10.865596,106.79185
"POINT (106.77342 10.857465)",Point 242,10.857465,106.77342
"POINT (106.77904 10.860932)",Point 243,10.860932,106.77904
"POINT (106.771935 10.856832)",Point 244,10.856832,106.771935
"POINT (106.779884 10.864634)",Point 245,10.864634,106.779884
"POINT (106.77038 10.8541355)",Point 246,10.8541355,106.77038
"POINT (106.76489 10.869079)",Point 247,10.869079,106.76489
"POINT (106.798355 10.867036)",Point 248,10.867036,106.798355
"POINT (106.78003 10.86462)",Point 249,10.86462,106.78003
"POINT (106.76675 10.856258)",Point 250,10.856258,106.76675
"POINT (106.76875 10.860194)",Point 251,10.860194,106.76875
"POINT (106.78692 10.863586)",Point 252,10.863586,106.78692
"POINT (106.7738 10.85678)",Point 253,10.85678,106.7738
"POINT (106.8014526367 10.8676538467)",Point 254,10.8676538467,106.8014526367
"POINT (106.78236 10.858579)",Point 255,10.858579,106.78236
"POINT (106.78902 10.859667)",Point 256,10.859667,106.78902
"POINT (106.781624 10.860165)",Point 257,10.860165,106.781624
"POINT (106.76791 10.855277)",Point 258,10.855277,106.76791
"POINT (106.76192 10.864255)",Point 259,10.864255,106.76192
"POINT (106.7642 10.857263)",Point 260,10.857263,106.7642
"POINT (106.782166 10.864489)",Point 261,10.864489,106.782166
"POINT (106.7841033936 10.8596439362)",Point 262,10.8596439362,106.7841033936
"POINT (106.78998 10.865491)",Point 263,10.865491,106.78998
"POINT (106.765785 10.857826)",Point 264,10.857826,106.765785
"POINT (106.76392 10.862239)",Point 265,10.862239,106.76392
"POINT (106.76671 10.862572)",Point 266,10.862572,106.76671
"POINT (106.7997 10.871583)",Point 267,10.871583,106.7997
"POINT (106.76865 10.859386)",Point 268,10.859386,106.76865
"POINT (106.76735 10.857995)",Point 269,10.857995,106.76735
"POINT (106.76965 10.855015)",Point 270,10.855015,106.76965
"POINT (106.78388 10.864628)",Point 271,10.864628,106.78388
"POINT (106.76564 10.85748)",Point 272,10.85748,106.76564
"POINT (106.761955 10.865376)",Point 273,10.865376,106.761955
"POINT (106.76707 10.85739)",Point 274,10.85739,106.76707
"POINT (106.77217 10.855224)",Point 275,10.855224,106.77217
"POINT (106.782036 10.863406)",Point 276,10.863406,106.782036
"POINT (106.768234 10.855687)",Point 277,10.855687,106.768234
"POINT (106.766655 10.858343)",Point 278,10.858343,106.766655
"POINT (106.774414 10.857489)",Point 279,10.857489,106.774414
