WKT,Name,Latitude,Longitude
"POINT (106.774345 10.881389)",Point 99,10.881389,106.774345
"POINT (106.76963 10.876286)",Point 100,10.876286,106.76963
"POINT (106.7604 10.903052)",Point 101,10.903052,106.7604
"POINT (106.7627944946 10.8807020187)",Point 102,10.8807020187,106.7627944946
"POINT (106.77277 10.882346)",Point 103,10.882346,106.77277
"POINT (106.7678985596 10.8733453751)",Point 104,10.8733453751,106.7678985596
"POINT (106.77052 10.873835)",Point 105,10.873835,106.77052
,Point 106,,
"POINT (106.7671890259 10.8845720291)",Point 107,10.8845720291,106.7671890259
"POINT (106.7665 10.8807)",Point 108,10.8807,106.7665
"POINT (106.77589 10.87025)",Point 109,10.87025,106.77589
"POINT (106.76671 10.875643)",Point 110,10.875643,106.76671
"POINT (106.7669 10.875144)",Point 111,10.875144,106.7669
"POINT (106.77713 10.878498)",Point 112,10.878498,106.77713
"POINT (106.7638473511 10.8770904541)",Point 113,10.8770904541,106.7638473511
"POINT (106.76523 10.8865385)",Point 114,10.8865385,106.76523
"POINT (106.76552 10.87581)",Point 115,10.87581,106.76552
"POINT (106.77115 10.885362)",Point 116,10.885362,106.77115
"POINT (106.76703 10.874931)",Point 117,10.874931,106.76703
"POINT (106.7675323486 10.884759903)",Point 118,10.884759903,106.7675323486
"POINT (106.77298 10.879165)",Point 119,10.879165,106.77298
"POINT (106.77293 10.875371)",Point 120,10.875371,106.77293
"POINT (106.77606 10.874384)",Point 121,10.874384,106.77606
"POINT (106.765594 10.886064)",Point 122,10.886064,106.765594
"POINT (106.77411 10.879269)",Point 123,10.879269,106.77411
"POINT (106.774376 10.878168)",Point 124,10.878168,106.774376
"POINT (106.7724 10.887426)",Point 125,10.887426,106.7724
"POINT (106.7796936035 10.8763504028)",Point 126,10.8763504028,106.7796936035
"POINT (106.767586 10.875691)",Point 127,10.875691,106.767586
"POINT (106.7780914307 10.8789978027)",Point 128,10.8789978027,106.7780914307
"POINT (106.77076 10.885105)",Point 129,10.885105,106.77076
"POINT (106.5859 10.798962)",Point 130,10.798962,106.5859
"POINT (106.77704 10.881952)",Point 131,10.881952,106.77704
"POINT (106.76289 10.877081)",Point 132,10.877081,106.76289
"POINT (106.769 10.87316)",Point 133,10.87316,106.769
"POINT (106.77599 10.876357)",Point 134,10.876357,106.77599
"POINT (106.7701263428 10.8785057068)",Point 135,10.8785057068,106.7701263428
