grid_id,grid_size_m,grid_area_km2,longitude_epsg4326,latitude_epsg4326,x_epsg32648,y_epsg32648,local_household_proxy_count,density_ratio_to_vnu_max,grid_population_density,grid_population
1.0,100,3.717908502903685E-4,106.76489218438151,10.872935204924634,692914.2381978243,1202490.4692581967,254.0,0.4479717813051146,8562.42947141987,3.183432933730504
2.0,100,0.007339480785442767,106.76464664139996,10.873501558495073,692887.0267120631,1202552.9624664737,235.0,0.4144620811287478,7923.42884166799,58.15385373824525
3.0,100,0.0067329980564482484,106.76468837273916,10.874321422093912,692891.0624419174,1202643.6811602602,250.0,0.4409171075837742,8427.903023051054,56.745054674137066
4.0,100,0.003106171374582236,106.76484877629998,10.875173734915801,692908.0526304739,1202738.0647793973,333.0,0.5873015873015873,11219.326826704004,34.84915183119053
5.0,100,2.1921144587088332E-4,106.7649720141967,10.875818230812214,692921.1127269039,1202809.436374498,333.0,0.5873015873015873,11219.326826704004,2.459404855379774
6.0,100,0.0038949775574481605,106.76552294461864,10.872810250076952,692983.2851854924,1202477.0478492782,254.0,0.4479717813051146,8562.42947141987,33.350470628413106
7.0,100,0.01003889399076517,106.76545392988811,10.873451350762053,692975.3268524442,1202547.9216684792,292.0,0.5149911816578483,9840.43073092363,98.78704093121014
8.0,100,0.010038893205538366,106.76545924762534,10.874355327085825,692975.326835901,1202647.9216960254,298.0,0.5255731922398589,10042.220403476857,100.81277817698256
9.0,100,0.010038892420225584,106.76546456635846,10.875259302682688,692975.3268774187,1202747.9216496525,333.0,0.5873015873015873,11219.326826704004,112.62961504063239
10.0,100,0.009251835567646027,106.7655024463716,10.876141419044526,692978.9011071626,1202845.524275489,333.0,0.5873015873015873,11219.326826704004,103.79936698034534
11.0,100,0.005797037617916789,106.76565930625385,10.877018451425473,692995.4874894689,1202942.6401980158,313.0,0.5520282186948854,10546.69458485992,61.13958525311225
12.0,100,0.0034605440732521546,106.76577984781422,10.877959421919142,693008.0616390752,1203046.8057980423,329.0,0.5802469135802469,11084.800378335187,38.35944025243107
13.0,100,0.0018931190552934458,106.76582883354945,10.878727781903383,693012.923072635,1203131.8319463984,288.0,0.5079365079365079,9705.904282554813,18.374432346158777
14.0,100,0.007614680837517498,106.76640099930808,10.872644233463795,693079.3976104911,1202459.2416549516,308.0,0.5432098765432098,10378.536524398898,79.02924319381574
15.0,100,0.010038884404268467,106.76636848849903,10.873446093204103,693075.3269154757,1202547.9216605476,338.0,0.5961199294532628,11387.484887165025,114.31764443760383
16.0,100,0.010038883619160032,106.7663738092038,10.874350069138094,693075.3269225342,1202647.9216945996,373.0,0.6578483245149912,12564.591310392172,126.13446988733646
17.0,100,0.010038882833930956,106.76637912974721,10.875254044142345,693075.3268612273,1202747.9216315597,410.0,0.7231040564373897,13808.960957803727,138.62654111371862
18.0,100,0.010038882048493254,106.76638445146389,10.876158020269981,693075.326876161,1202847.9216993924,400.0,0.7054673721340388,13472.644836881685,135.25029239869687
19.0,100,0.010038881263018993,106.76638977359657,10.877061995457117,693075.3268858624,1202947.9216693111,379.0,0.6684303350970018,12766.380982945399,128.16018284625255
20.0,100,0.010038880477616348,106.76639509602543,10.877965970868905,693075.3268764801,1203047.9216701284,329.0,0.5802469135802469,11084.800378335187,111.2789861163434
21.0,100,0.010038588783687769,106.76640043237356,10.87886993307374,693075.3283461678,1203147.9202247264,288.0,0.5079365079365079,9705.904282554813,97.43358186640182
22.0,100,0.0063542284759844185,106.76653042280599,10.879673320095536,693089.0237653409,1203236.8726213202,226.0,0.3985890652557319,7620.744332838152,48.42395064791707
23.0,100,2.3065007452315812E-4,106.76680483289459,10.880292526395314,693118.6279979234,1203305.5431312588,224.0,0.3950617283950617,7553.481108653744,1.742210980620253
24.0,100,0.001338314557685642,106.76747318147073,10.871989016876979,693197.050891595,1202387.4445685232,301.0,0.5308641975308642,10143.11523975347,13.57467878564516
25.0,100,0.009996064350071315,106.76727949461299,10.872538710712075,693175.5194134056,1202448.1277582818,332.0,0.5855379188712522,11185.695214611798,111.8129291655443
