grid_id,grid_size_m,grid_area_km2,longitude_epsg4326,latitude_epsg4326,x_epsg32648,y_epsg32648,grid_population_density,grid_population
62,25,0.00063,106.7653376,10.87311302,692962.8269,1202510.422,9472.767905,5.943507933
63,25,0.00063,106.7653389,10.87333901,692962.8268,1202535.422,9507.520728,5.965312814
64,25,0.00063,106.7653403,10.873565,692962.8267,1202560.422,9681.284844,6.074337681
65,25,0.00063,106.7653416,10.873791,692962.8269,1202585.422,10272.08284,6.445022497
66,25,0.00063,106.7653429,10.87401699,692962.827,1202610.422,10272.08284,6.445022371
67,25,0.00063,106.7653443,10.87424299,692962.8268,1202635.422,10793.37519,6.772097175
68,25,0.00063,106.7653456,10.87446898,692962.8267,1202660.422,11314.66753,7.099171967
69,25,0.00063,106.7653469,10.87469498,692962.8268,1202685.422,11453.67883,7.186391806
70,25,0.00063,106.7653483,10.87492097,692962.8269,1202710.422,11662.19577,7.31722163
71,25,0.00063,106.7653496,10.87514696,692962.8268,1202735.422,11766.45423,7.382636468
72,25,0.00063,106.7653509,10.87537296,692962.8267,1202760.422,11766.45423,7.382636323
73,25,0.00063,106.7653522,10.87559895,692962.8269,1202785.422,11627.44294,7.295416208
74,25,0.00063,106.7653536,10.87582494,692962.8269,1202810.422,11488.43165,7.208196096
75,25,0.00063,106.7653549,10.87605094,692962.8268,1202835.422,11314.66753,7.099170995
76,25,0.00063,106.7653562,10.87627693,692962.8269,1202860.422,11175.65624,7.01195089
77,25,0.00063,106.7653576,10.87650293,692962.8268,1202885.422,11106.15059,6.968340771
78,25,0.00054,106.7653739,10.87672108,692964.4695,1202909.564,11071.39777,5.949099637
79,25,0.00031,106.7654155,10.87694061,692968.8828,1202933.874,10932.38648,3.380412633
80,25,0.00008,106.765452,10.87713116,692972.7444,1202954.977,10793.37519,0.888161437
81,25,0.00046,106.7655733,10.8726876,692988.874,1202463.512,9820.296137,4.542420855
82,25,0.00063,106.7655649,10.87288571,692987.827,1202485.422,9959.307429,6.248776529
83,25,0.00063,106.7655663,10.8731117,692987.8269,1202510.422,9924.554606,6.226971414
84,25,0.00063,106.7655676,10.8733377,692987.8269,1202535.422,10202.57719,6.401411227
85,25,0.00063,106.7655689,10.87356369,692987.8269,1202560.422,10584.85825,6.641266008
86,25,0.00063,106.7655702,10.87378969,692987.8268,1202585.422,10967.1393,6.881120779
87,25,0.00063,106.7655716,10.87401568,692987.8269,1202610.422,10793.37519,6.772095692
88,25,0.00063,106.7655729,10.87424167,692987.827,1202635.422,11592.69012,7.273610333
89,25,0.00063,106.7655742,10.87446767,692987.8271,1202660.422,12113.98247,7.600685036
90,25,0.00063,106.7655756,10.87469366,692987.8268,1202685.422,12079.22964,7.578879898
91,25,0.00063,106.7655769,10.87491965,692987.8267,1202710.422,12392.00505,7.775124649
92,25,0.00063,106.7655782,10.87514565,692987.8268,1202735.422,12322.49941,7.73151452
93,25,0.00063,106.7655796,10.87537164,692987.8269,1202760.422,12252.99376,7.687904393
94,25,0.00063,106.7655809,10.87559764,692987.8268,1202785.422,12148.73529,7.62248928
95,25,0.00063,106.7655822,10.87582363,692987.8268,1202810.422,12044.47682,7.557074169
96,25,0.00063,106.7655835,10.87604962,692987.8269,1202835.422,11870.7127,7.448049088
97,25,0.00063,106.7655849,10.87627562,692987.8269,1202860.422,11523.18447,7.22999908
98,25,0.00063,106.7655862,10.87650161,692987.8269,1202885.422,11384.17318,7.142778995
99,25,0.00063,106.7655875,10.87672761,692987.8269,1202910.422,11245.16189,7.055558913
100,25,0.00063,106.7655889,10.8769536,692987.827,1202935.422,11279.91471,7.07736376
101,25,0.00062,106.7655907,10.87717915,692987.8791,1202960.373,11001.89212,6.873195336
102,25,0.00048,106.7656171,10.87739638,692990.6325,1202984.42,10828.12801,5.169249731
103,25,0.00028,106.7656546,10.87762488,692994.5841,1203009.72,10654.36389,3.035148328
104,25,0.00025,106.7656638,10.8778554,692995.4389,1203035.225,10515.3526,2.577858923
105,25,0.00022,106.7656693,10.87808118,692995.8998,1203060.204,10237.33001,2.272510767
106,25,0.00020,106.7656749,10.87830692,692996.361,1203085.179,9889.801783,1.9662278
107,25,0.00017,106.7656811,10.87852949,692996.8989,1203109.803,9646.532021,1.642920072
108,25,0.00003,106.7656994,10.87868235,692998.8006,1203126.724,9159.992496,0.239751285
109,25,0.00007,106.7658455,10.87252301,693018.7365,1202445.479,10167.82437,0.739126358
110,25,0.00062,106.765793,10.87265927,693012.9147,1202460.519,10411.09413,6.479275495
111,25,0.00063,106.7657936,10.8728844,693012.8268,1202485.422,10480.59978,6.57584985
112,25,0.00063,106.7657949,10.87311039,693012.8269,1202510.422,10619.61107,6.663069669
113,25,0.00063,106.7657962,10.87333638,693012.8269,1202535.422,10862.88083,6.815704446
114,25,0.00063,106.7657976,10.87356238,693012.827,1202560.422,11175.65624,7.011949188
115,25,0.00063,106.7657989,10.87378837,693012.827,1202585.422,11453.67883,7.186388937
116,25,0.00063,106.7658002,10.87401436,693012.8268,1202610.422,11627.44294,7.295413723
117,25,0.00063,106.7658015,10.87424036,693012.8267,1202635.422,12496.26352,7.840538204
118,25,0.00063,106.7658029,10.87446635,693012.8267,1202660.422,12635.27481,7.927757989
119,25,0.00063,106.7658042,10.87469235,693012.8269,1202685.422,12913.2974,8.102197707
120,25,0.00063,106.7658055,10.87491834,693012.8269,1202710.422,13017.55587,8.167612499
121,25,0.00063,106.7658069,10.87514433,693012.8269,1202735.422,13017.55587,8.16761234
122,25,0.00063,106.7658082,10.87537033,693012.8268,1202760.422,12878.54458,8.080392249
123,25,0.00063,106.7658095,10.87559632,693012.8269,1202785.422,12565.76917,7.884147249
124,25,0.00063,106.7658109,10.87582232,693012.827,1202810.422,12357.25223,7.753317204
125,25,0.00063,106.7658122,10.87604831,693012.827,1202835.422,12392.00505,7.775122033
126,25,0.00063,106.7658135,10.8762743,693012.8269,1202860.422,12322.49941,7.731511919
127,25,0.00063,106.7658148,10.8765003,693012.8269,1202885.422,12044.47682,7.557071922
