original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,average_travel_time_s,average_speed_kmh,assigned_grid_area_km2,assigned_grid_area_m2,Popij,Sij_m,forward_source_link_name
21,5_7,Forward,5,7,10.875638,106.804914,10.8746507,106.8061372,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",191,38,18.09473684,0.00567,5670,15.55021293,12.13722446,
22,5_25,Forward,5,25,10.875638,106.804914,10.8736134,106.8029052,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,425,65,23.53846154,0.00504,5040,15.36326314,5.621898825,
23,6_17,Backward,6,17,10.875778,106.8051008,10.8765308,106.805115,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,Bus Stop 33,139,35,14.29714286,0.01008,10080,29.44002287,33.33586858,12_5
24,6_3,Forward,6,3,10.875778,106.8051008,10.8766326,106.8024914,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,"International University, VNU-HCM - Creative Square - Linh Trung Ward",306,42,26.22857143,0.0063,6300,14.38537028,5.871874672,
25,6_2,Forward,6,2,10.875778,106.8051008,10.8781307,106.8027517,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",404,52.78937244,27.551,0.01134,11340,18.97738931,12.91061762,
26,6_5,U-turn,6,5,10.875778,106.8051008,10.875638,106.804914,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,472,65,26.14153846,0,0,0,0,
27,6_25,Forward,6,25,10.875778,106.8051008,10.8736134,106.8029052,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,643,74.26133265,31.171,0.00378,3780,10.12697635,6.302184941,
28,7_9,Forward,7,9,10.8746507,106.8061372,10.8759027,106.8075572,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,233,43,19.50697674,0.00756,7560,28.45221548,10.1732162,
29,7_33,Forward,7,33,10.8746507,106.8061372,10.8713888,106.8066598,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",People's Security University - Tien Thanh Factory - National Highway 1,527,73.60335196,25.776,0.0315,31500,58.86604542,40.03298855,
30,8_9,Forward,8,9,10.8743141,106.807054,10.8759027,106.8075572,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,250,45,20,0.00567,5670,23.20339553,15.45165134,
31,8_7,U-turn,8,7,10.8743141,106.807054,10.8746507,106.8061372,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",107,21,18.34285714,0,0,0,0,
32,8_6,Forward,8,6,10.8743141,106.807054,10.875778,106.8051008,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,291,27.57277465,37.994,0.01197,11970,35.77902628,18.10494481,
33,8_25,Forward,8,25,10.8743141,106.807054,10.8736134,106.8029052,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,591,80.78368835,26.337,0.0189,18900,53.18593386,13.41934035,
34,9_10,U-turn,9,10,10.8759027,106.8075572,10.8762014,106.807517,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,25,3,30,0,0,0,0,
35,9_16,Forward,9,16,10.8759027,106.8075572,10.8807,106.81078,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",637,70,32.76,0.01638,16380,84.90390081,10.63772622,
36,10_9,U-turn,10,9,10.8762014,106.807517,10.8759027,106.8075572,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,25,3,30,0,0,0,0,
37,10_7,Backward,10,7,10.8762014,106.807517,10.8746507,106.8061372,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",259,52,17.93076923,0.00756,7560,28.45221548,10.1732162,7_9
