original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,gis_route_distance_km,average_travel_time_s,average_travel_time_min,average_speed_kmh,assigned_grid_count,assigned_grid_area_km2,assigned_grid_area_m2,Popij,assigned_grid_population_total,Sij_m,Sij_km,forward_source_link_name,assignment_source_original_index
17,4_2,Forward,4,2,10.8764075,106.8024855,10.8781307,106.8027517,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward","International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",285,0.285,37.0798699,0.617997832,27.67,1,0.002509624,2509.623801,1.705797907,1.705797907,2.353641056,0.002353641,,
18,4_5,Forward,4,5,10.8764075,106.8024855,10.875638,106.804914,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward",VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,293,0.293,39,0.65,27.04615385,3,0.007528864,7528.864212,17.75226,17.75226,13.08154422,0.013081544,,
19,4_25,Forward,4,25,10.8764075,106.8024855,10.8736134,106.8029052,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward",VNU-HCM Area A Bus Terminal - Creative Square,462,0.462,70.34937823,1.172489637,23.642,8,0.020077001,20077.0008,83.96609009,83.96609009,27.57561252,0.027575613,,
20,5_6,U-turn,5,6,10.875638,106.804914,10.875778,106.8051008,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,194,0.194,32,0.533333333,21.825,0,0,0,0,0,0,0,,
21,5_7,Forward,5,7,10.875638,106.804914,10.8746507,106.8061372,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",191,0.191,38,0.633333333,18.09473684,2,0.005019233,5019.232963,14.91365321,14.91365321,3.760474796,0.003760475,,
22,5_25,Forward,5,25,10.875638,106.804914,10.8736134,106.8029052,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,425,0.425,65,1.083333333,23.53846154,3,0.007528866,7528.866418,24.28754699,24.28754699,0.814839634,0.00081484,,
23,6_17,Backward,6,17,10.875778,106.8051008,10.8765308,106.805115,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,Bus Stop 33,139,0.139,35,0.583333333,14.29714286,4,0.010038467,10038.4672,31.04722535,31.04722535,38.481738,0.038481738,12_5,46
24,6_3,Forward,6,3,10.875778,106.8051008,10.8766326,106.8024914,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,"International University, VNU-HCM - Creative Square - Linh Trung Ward",306,0.306,42,0.7,26.22857143,2,0.005019246,5019.245843,11.2539333,11.2539333,8.341666667,0.008341667,,
25,6_2,Forward,6,2,10.875778,106.8051008,10.8781307,106.8027517,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",404,0.404,52.78937244,0.879822874,27.551,3,0.007528862,7528.862301,14.09249801,14.09249801,17.08359827,0.017083598,,
26,6_5,U-turn,6,5,10.875778,106.8051008,10.875638,106.804914,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,472,0.472,65,1.083333333,26.14153846,0,0,0,0,0,0,0,,
27,6_25,Forward,6,25,10.875778,106.8051008,10.8736134,106.8029052,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,643,0.643,74.26133265,1.237688877,31.171,2,0.005019238,5019.237667,13.78088665,13.78088665,0.627359285,0.000627359,,
28,7_9,Forward,7,9,10.8746507,106.8061372,10.8759027,106.8075572,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,233,0.233,43,0.716666667,19.50697674,3,0.00752884,7528.840007,31.25839941,31.25839941,9.405718485,0.009405718,,
29,7_33,Forward,7,33,10.8746507,106.8061372,10.8713888,106.8066598,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",People's Security University - Tien Thanh Factory - National Highway 1,527,0.527,73.60335196,1.226722533,25.776,12,0.030115391,30115.39058,59.15827082,59.15827082,37.45250851,0.037452509,,
30,8_9,Forward,8,9,10.8743141,106.807054,10.8759027,106.8075572,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward,250,0.25,45,0.75,20,1,0.002509611,2509.610818,12.85928376,12.85928376,28.8527848,0.028852785,,
31,8_7,U-turn,8,7,10.8743141,106.807054,10.8746507,106.8061372,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",107,0.107,21,0.35,18.34285714,0,0,0,0,0,0,0,,
32,8_6,Forward,8,6,10.8743141,106.807054,10.875778,106.8051008,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,291,0.291,27.57277465,0.459546244,37.994,3,0.007528845,7528.845107,23.85179221,23.85179221,16.46518625,0.016465186,,
33,8_25,Forward,8,25,10.8743141,106.807054,10.8736134,106.8029052,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,591,0.591,80.78368835,1.346394806,26.337,8,0.020076946,20076.94586,56.77913608,56.77913608,15.99938265,0.015999383,,
